No,Product Name,Price (SGD)
100,"Megaman PAR16 LED, GU10 ø50, 5,5W",18.255999999999997
101,"Megaman Classic A60 LED, E27, 9,5W",12.165999999999999
102,"Megaman Classic A65 LED, E27, 10,5W",25.088
103,"Megaman Globe A95 LED, E27, 11W",30.421999999999997
104,"Megaman Globe 120 LED, E27, 14W",44.099999999999994
105,"Megaman PAR16 LED, GU10 ø50, 5,5W",19.767999999999997
106,"Megaman G4 LED, 1,8W",15.973999999999998
107,"Megaman Classic A60 LED, E27, 5,5W",15.203999999999999
108,"Megaman Classic A60 LED, E27, 8,5W",19.012
109,"Megaman PAR16 LED, GU10 ø50, 7W",30.421999999999997
110,"Megaman Candle LED, E14, 3W",14.447999999999999
111,"Megaman Classic A45 LED, E14, 3W",15.203999999999999
112,"Megaman Classic A60 LED (sensor), E27, 9,5W",28.895999999999997
113,"Megaman R7s LED, 8W",29.651999999999997
114,"Megaman PAR16 LED, GU10 ø50, 4W",15.203999999999999
115,"Megaman PAR16 LED, GU10 ø50, 7W",38.024
116,"Megaman Classic A65 LED, E27, 9W",60.83
117,"Megaman Clusterlite, E27, 35W",167.28599999999997
118,"Megaman Classic LED Filament, E27, 5,5W",22.805999999999997
119,"Megaman Globe A125 Gold LED, E27, 3W",36.498
120,"Megaman Classic Edison Gold LED, E27, 3W",31.933999999999997
121,Megaman PAR 16 LED Glass,13.691999999999998
122,"Megaman Clusterlite, E27, 46W",228.11599999999999
123,"Megaman PAR16 LED DIM to Warm, GU10 ø50, 5,5W",22.805999999999997
124,"Megaman Candle LED, E14, 3,5W",12.922
125,"Megaman LED spotlight, GU5.3, 7W",42.588
126,"Megaman GLOBE A95 LED, LED Lamp, E27, 13W",33.459999999999994
127,"Megaman CLUSTER LITE, LED Lamp, E27, 27W",159.684
128,"Megaman LILIPUT, LED bulb, E27, 7W",18.255999999999997
129,"Megaman Candle LED Filament, E14, 3W",22.805999999999997
