No,Product Name,Price (SGD)
80,ZENIA L0301RC-WH MAX MR16/PAR16 RECESSED WHITE,7.30
81,MEGAMAN LC1503.2DCS LED FILAMENT 3.2W E14,22.50
82,MEGAMAN LG6205.5DCS LED FILAMENT 5.5W E27,27.90
83,MEGAMAN LG2604W LED DIM TO WARM 4W E14,23.10
84,MEGAMAN LG2509.5S LED STEP DIMMING 9.5W E27 4000K,30.20
85,MEGAMAN LG3111 LED GLOBE 11W E27 2800K,18.00
86,MEGAMAN LG3111 LED GLOBE 11W E27 4000K,18.00
87,MEGAMAN SP0618 CFL SPIRAL 18W E27 6500K,6.40
88,MEGAMAN T4G24D326 CFL PLUG IN TUBE 26W 2700K,3.70
89,MEGAMAN T4G24D326 CFL PLUG IN TUBE 26W 4000K,3.70
90,MEGAMAN T4G24D326 CFL PLUG IN TUBE 26W 6500K,3.70
91,MEGAMAN LG7207D-E27-2800K LED CLASSIC-7W-DIM-E27-WARM WHITE,17.10
92,MEGAMAN LG2603.5V2-E27-4000K LED CLASSIC-3.5E-E27-COOL WHITE,5.10
93,MEGAMAN LG7209.5-E27-2800K LED CLASSIC-9.5E-E27-WARM WHITE,8.30
94,MEGAMAN LG7813D-E27-6500K LED CLASSIC-13W-DIM-E27-DAYLIGHT,21.00
95,MEGAMAN LG4209.5CS-E27-2800K LED CLR INCANDA GLB 9.5W-E27-WW,34.50
96,MEGAMAN LS0205D LED CROWN SILVER CLASSIC P45 5W E14 2800K ,33.80
97,MEGAMAN F50500SM ISM LED LUMIAIRE 10.5W 3000K,39.60
98,MEGAMAN F50500SM ISM LED LUMIAIRE 10.5W  6500K,39.60
99,MEGAMAN F50600SM ISM LED LUMIAIRE 14.5W 3000K,51.50
100,MEGAMAN F50600SM ISM LED LUMIAIRE 14.5W 6500K,51.50
101,MEGAMAN F50700SM ISM LED LUMIAIRE 18.5W 3000K,67.60
102,MEGAMAN F50700SM ISM LED LUMIAIRE 18.5W 6500K,67.60
103,MEGAMAN LG2311DBT LED INGENIUM BLU 11W E27 2800K ,53.40
104,MEGAMAN LG2311DBT LED INGENIUM BLU 11W E27 4000K,53.40
105,MEGAMAN LG3111 LED GLOBE 11W E27 ,18.00
106,MEGAMAN LG6703GD E27 220K LED FILAMENT CLASSIC 3W E27 2200K,28.60
107,MEGAMAN LG7813D E27 ,21.00
108,MEGAMAN LC0505DCSV2 E27 2800K LED DIMMERABLE CANDLE CLEAR E27 5W E27 WARM WHITE,30.00
109,MEGAMAN LG6303DGD-E27-2200K LED FILAMENT CLASSIC-3W-DIM-E27-2200K,34.30
110,MEGAMAN LG6403DGD E27 LED FILAMENT GLOBE G95 3W DIM E27 2200K,35.70
111,MEGAMAN LG6503DGD E27 2200K LED FILAMENT GLOBE G125 3W DIM 2200K,32.40
112,MEGAMAN LG6603DGD E27 2200K LED FILAMENT ST58 3W DIM E27 2200K,32.70
113,MEGAMAN LG6803GD E27 2200K LED FILAMENT GLOBE95 3W E27 2200K,29.70
114,MEGAMAN LG6903GD E27 2200K LED FILAMENT GLOBE125 3W E27 2200K,31.90
115,MEGAMAN LG6104.8CS LED FILAMENT 4.8W E27 2700K,12.60
116,ZENIA F11517TA-WH12 MOSAIC PAR16 TRAK LIGHT FIXTURE / BLACK,26.10
117,MEGAMAN LG7209.5 E27 6500K LED CLASSIC 9.5W E27 DAYLIGHT,8.30
118,MEGAMAN 3P408 E14 TUBULAR E14 8W 2700K/6500K ,4.80
119,MEGAMAN ER2405LN LED MR16 5W 24D 4000K/6500K,20.65
120,MEGAMAN ER3207 LED MR16 7W 2800K/4000K,31.50
121,MEGAMAN LG8207 E14 2800K LED CLASSIC 7W E14 WARM WHITE,13.20
122,MEGAMAN LG8606 E27 2800K LED CLASSIC 6W E27 WARM WHITE ,6.20
123,MEGAMAN SP0208-E27-4000K Spiral-E27- 8W-4000K- Cool White,6.20
124,MEGAMAN SP0208-E27-6500K Spiral-E27- 8W-6500K- Daylight,6.20
125,MEGAMAN SP0214 CFL SPIRAL 14W E14 6500K,6.20
126,MEGAMAN SP0220 CFL SPIRAL 20W E27 2700K,7.30
127,MEGAMAN SP0220 CFL SPIRAL 20W E27 6500K,7.30
128,MEGAMAN SP0611 SPIRAL 11W E27 4000K,6.20
129,MEGAMAN SP0614 SPIRAL 14W E27 4000K,6.20
130,MEGAMAN SP0618 CFL SPIRAL 18W E27 2700K,6.40
131,MEGAMAN SP0618 CFL SPIRAL 18W E27 4000K,6.40
132,MEGAMAN SP0205 CFL SPIRAL 5W E14 2700K,6.40
133,MEGAMAN SP0205 CFL SPIRAL 5W E14 6500K,6.20
134,MEGAMAN SP0205-E27-2700K SPIRAL-E27- 5W-2700K- WARM WHITE,6.20
135,MEGAMAN SP0205-E27-4000K Spiral-E27- 5W-4000K- Cool White,6.20
136,MEGAMAN SP0205-E27-6500K SPIRAL-E27- 5W-6500K- DAYLIGHT,6.20
137,MEGAMAN SP0208-E14-2700K SPIRAL-E14- 8W-2700K- WARM WHITE,6.20
138,MEGAMAN SP0208-E14-6500K SPIRAL-E14-8W-6500K- DAYLIGHT,6.20
139,MEGAMAN SP0208-E27-2700K Spiral-E27- 8W-2700K- Warm White,6.20
